system:index,classification_mean,plotID,.geo
00000000000000000000_0,0.44118774,A02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.03854884,A011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.03916325,A010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.2812477,A03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,0.10395558,A07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.21503352,A06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,0.08729045,A09,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,0.57998633,A04,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0.5987277,A05,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.05837246,A08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0.6089555,B0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0.5426595,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.27079,B117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.12848715,B117b,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,0.29297718,B118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.20053609,B119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,0.60268307,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,0.3132249,B28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.37586516,B28b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,0.4070397,B29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,0.4349808,B34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,0.424232,B37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,0.42108184,B39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,0.43249905,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,0.110531785,B52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,0.078044,B54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,0.41135752,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.05068628,B64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.08394745,B67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.16739163,B69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.04793259,B77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,0.08544971,B84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,0.075877234,B86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,0.14318053,B90b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,0.19298358,B90c,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,0.20640433,B90d,"{""type"":""MultiPoint"",""coordinates"":[]}"
