system:index,classification_mean,plotID,.geo
00000000000000000000_0,80.100746,A02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.22555101,A011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.53844476,A010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,61.366142,A03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,16.875257,A07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,12.6367445,A06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,3.468666,A09,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,99.76198,A04,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,99.89834,A05,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.51363266,A08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,99.94265,B0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,98.969185,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,28.751514,B117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.4506508,B117b,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,47.57724,B118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,6.1862264,B119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,99.92555,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,50.540638,B28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,99.67639,B28b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,99.10438,B29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,99.80367,B34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,99.689476,B37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,99.33078,B39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,83.77153,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,1.2758327,B52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,0.71223265,B54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,90.92699,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.18054467,B64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.43467447,B67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.3709705,B69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.70468014,B77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,1.8557243,B84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,1.5094471,B86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,5.1999435,B90b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,1.7801324,B90c,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,2.4198723,B90d,"{""type"":""MultiPoint"",""coordinates"":[]}"
