system:index,classification_mean,plotID,.geo
00000000000000000000_0,79.08375,A02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.16635756,A011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.24154727,A010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,59.755108,A03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,15.785217,A07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,12.738272,A06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,4.395837,A09,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,99.82993,A04,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,99.88541,A05,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.4173465,A08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,99.940155,B0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,98.38217,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,32.120792,B117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.9070149,B117b,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,46.966724,B118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,8.093905,B119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,99.92243,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,55.591244,B28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,99.74423,B28b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,99.100494,B29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,99.81636,B34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,99.61497,B37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,99.021835,B39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,83.418,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,1.3882419,B52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,0.74714184,B54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,90.39567,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.46010876,B64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.24002936,B67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.37542623,B69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,1.5199782,B77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,1.0192677,B84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,0.4374626,B86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,7.5762854,B90b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,3.8636687,B90c,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,3.5078866,B90d,"{""type"":""MultiPoint"",""coordinates"":[]}"
