plotID,pft,pctCover
A010,b,0.352549889135255
A010,c,0.016629711751663
A010,d,0.004988913525499
A010,g,0.344235033259423
A010,r,0.035753880266075
A010,s,0.245842572062084
A011,b,0.259146341463415
A011,d,0.01219512195122
A011,g,0.251108647450111
A011,r,0.014966740576497
A011,s,0.462583148558758
A02,b,0.31790465631929
A02,c,0.234756097560976
A02,d,0.002494456762749
A02,r,0.10920177383592
A02,s,0.335643015521064
A03,b,0.141075388026608
A03,c,0.217017738359202
A03,r,0.127494456762749
A03,s,0.514412416851441
A04,b,0.248891352549889
A04,c,0.600332594235033
A04,r,0.028824833702883
A04,s,0.121951219512195
A05,b,0.328713968957871
A05,c,0.568458980044346
A05,d,0.004434589800443
A05,r,0.003880266075388
A05,s,0.094512195121951
A06,b,0.231707317073171
A06,c,0.292405764966741
A06,d,0.005266075388027
A06,g,0.051552106430155
A06,r,0.038525498891353
A06,s,0.380543237250554
A07,b,0.501662971175166
A07,c,0.334257206208426
A07,d,0.003048780487805
A07,g,0.037416851441242
A07,s,0.123614190687361
A08,b,0.557372505543237
A08,c,0.135532150776053
A08,r,0.074279379157428
A08,s,0.232815964523282
A09,b,0.604212860310421
A09,c,0.097838137472284
A09,d,0.003325942350333
A09,r,0.18320399113082
A09,s,0.111419068736142
