pixelID,focalAreaID,fireYear,CWDhist,AEThist,PPThist,PPThistSD,TmaxHist,TmaxHistSD,hli,tpi,aspect,eastness,northness,adjustedNorthness,adj_fold_northness,slope,elevation,burnSev,mediumReburns,lowReburns,forestType,wilderness,x,y,preFireConCov,postFireConCov,postFireSAP,postFirePlanting,pptYr1_3_annual_mean,tmaxYr1_3_mean,min_annual_ppt_Yr1_3,min_annual_ppt_t_adjusted_Yr1_3,pptYr1_3_annual_mean_t_adjusted,disturbanceSize,recoveryTime,ppt_Yr1_3_mean_annual_anom,min_annual_ppt_Yr1_3_anom,conCov_end,ARI_end,RRI_end,fire,snowPack,pixelIDsnow
FA-10-415,10,-1.6528038388351236,0.45206074657070827,-0.5206579588170618,-0.9905886022576105,-1.0378067640890845,-0.2000529153515585,1.3711364024748993,0.36888138658885405,-1.9215266321717561,-0.7207048123410603,1.2311419145335987,-1.079150877500607,-1.1265762645976276,-0.010140769861219234,0.4060702380648621,-1.3390723703388332,0.39996156837839714,-0.3255392327227402,-0.2915096263453903,551,-0.27760432743117147,-1.601563135310545,1.0168119847442512,0.10269120062482222,-0.1976037844945438,0.5968243423545163,2.6042197108526524,-1.212799461717719,-0.06246476010033253,-0.4529468643062787,-0.3800342529882127,-1.0947866750352937,0.16549209159569792,1.6528038388351187,-1.0072602814856033,0.5246484942315907,-0.3853472859440829,-0.2950669443198886,-0.334171995982206,10-1987,-0.8517613410443882,FA-10-415
FA-10-231,10,-1.6528038388351236,-0.09694260815285051,-0.5052091670552018,-0.9905886022576105,-1.0378067640890845,-0.2000529153515585,1.3711364024748993,0.6824891393865257,0.01306677346597301,0.051596172451936005,-0.05553630454374493,-1.0757163745238174,-0.9652027796732613,-0.7317477528815963,0.09777839963456311,0.14778528176370914,1.0649272001904468,-0.3255392327227402,-0.2915096263453903,551,-0.27760432743117147,-1.584976168271916,1.0335096892239952,0.1426022821294241,0.03240480533172957,-0.21358858502404676,2.5702838069933165,-1.212799461717719,-0.06246476010033253,-0.4529468643062787,-0.3800342529882127,-1.0947866750352937,0.11964738431965907,1.6528038388351187,-1.0072602814856033,0.5246484942315907,0.01851547384593369,0.008482098108327736,-0.017910807614392926,10-1987,0.014415945674593925,FA-10-231
FA-10-605,10,-1.6528038388351236,0.7901897816224458,-1.3015445533028973,-1.6508393496017015,-1.666993171510865,1.3449096697392608,3.073899275129359,-1.5614745367314196,1.202076761111804,1.8123474501974324,-1.038563854694169,1.358462725709111,2.015842992386077,0.05200458636192236,1.8651442326832617,-1.1277527717650995,-0.08664903308910633,-0.3255392327227402,-0.2915096263453903,551,-0.27760432743117147,-1.598245741902819,1.000114280264507,-1.1059619553949191,1.9346454662410228,1.4549144376178593,-0.4902014161852974,-1.622526771197699,1.597689145416645,-0.9846889404289515,-1.2152552971109778,-1.7266986470467518,-1.7128335255905374,1.6528038388351187,-0.934992657893917,0.6409347225145893,-0.40666678172079135,-0.8441906373289179,-0.4365929454161001,10-1987,-0.8577386245802359,FA-10-605
FA-10-451,10,-1.6528038388351236,0.8555653651001355,-1.4418614810529249,-1.0699599484974305,-1.1330570883602922,-0.0709291173436671,1.7753107688375724,0.12917671808002765,-0.9526207881952312,-0.7371353378426007,1.2952469326392548,-1.082941987137285,-1.904294144725354,-0.005044735462613877,1.9772518041896854,-1.1257206213760882,-0.6112412445657933,-0.3255392327227402,-0.2915096263453903,551,-0.27760432743117147,-1.5717065946410125,1.014426598390002,-1.4962271464995318,0.3959288293329814,2.1802464227172256,-0.2655353088804727,-1.2667935293519728,0.1291067952128033,-0.5236182793935414,-0.511361826996557,-1.184744636338644,-1.519622990103426,1.6528038388351187,-1.0142401248367998,0.5166331672203194,-0.027869407777656688,-0.12332156045092084,0.7677950950267702,10-1987,-0.853508993519207,FA-10-451
FA-10-202,10,-1.6528038388351236,0.16073327767208168,-1.018908507253287,-0.9905886022576105,-1.0378067640890845,-0.2000529153515585,1.3711364024748993,0.7365875371446119,-0.6805710376364786,-0.35691963363503093,0.5370050368544453,-1.052260614747163,-1.338915088837355,-0.6806034700027724,0.7684719357116523,0.12092397807546673,-1.2765868335100583,-0.3255392327227402,-0.2915096263453903,551,-0.27760432743117147,-1.5916109550873676,1.0358950755782443,-1.152946894113116,1.433971951904868,0.3769718938133911,0.5760203814036076,-1.212799461717719,-0.06246476010033253,-0.4529468643062787,-0.3800342529882127,-1.0947866750352937,-1.576315234946177,1.6528038388351187,-1.0072602814856033,0.5246484942315907,-0.06977570028865177,-0.41881165937931886,0.28404188764088684,10-1987,0.3315968329846978,FA-10-202
FA-10-101,10,-1.6528038388351236,-0.2223558926237876,-1.1962171295903556,-1.135199209880567,-1.1907671245337672,0.014196528742107731,1.8045892759663342,-0.1338486134464099,2.6446351634571506,-0.9675042974734339,1.6427893318040645,-0.766863630867665,-1.0576229482992967,0.6409451794374726,1.060368396433939,1.2213470646252709,0.5044837933673008,-0.3255392327227402,-0.2915096263453903,552,-0.27760432743117147,-1.5683892012332865,1.045436620995241,-1.1198647453553388,0.4829996545817742,2.3771382112931727,-0.4902014161852974,-1.300631368557722,0.21230816887648113,-0.5655982188436135,-0.5699065381071047,-1.231611817040765,-1.2043995210230818,1.6528038388351187,-0.9911828952890746,0.5464738719404862,-0.2126909844497371,-0.31004988402684813,0.2048715323563493,10-1987,1.149137552723313,FA-10-101
FA-10-423,10,-1.6528038388351236,0.39829600214317845,-0.5848700343909838,-1.0129097252337678,-1.0645934213223143,-0.16374085140907232,1.4847997315214254,0.17602269541839852,1.5501883171400255,-0.8811535807565445,1.5055154324119722,-0.8870260100602049,-1.0941879187547543,0.3610565543450535,0.7690840424956167,-0.44945340808121065,-1.6748159217012721,-0.3255392327227402,-0.2915096263453903,551,-0.27760432743117147,-1.5750239880487382,1.0168119847442512,0.5526944278397231,1.2485794134805863,1.803280734879333,1.411445468546108,-1.2279837943327674,-0.008590369675775337,-0.47282127776872424,-0.41762845931556786,-1.1204554864006069,0.06050308775023815,1.6528038388351187,-1.009189316083873,0.5224331673566699,-0.2941551744449813,-0.5731381355572821,-0.5889552439891175,10-1987,-0.6881924172480949,FA-10-423
FA-10-592,10,-1.6528038388351236,0.32084204257469084,-1.1595837994820568,-1.1766560735441436,-1.2328643978439955,-0.22533495736683645,1.4494102377134206,0.47965717194632035,2.4144129496773137,0.8677537208066374,-0.9490262804528736,-0.374195717563739,-0.5289344931294372,-1.4692014613044344,1.2227873882834037,0.23810208074532946,-0.5208786447573426,-0.3255392327227402,-0.2915096263453903,551,-0.27760432743117147,-1.5518022341946573,1.0024996666187562,-0.7866703536197954,0.048634008630029896,1.2858572861383213,2.596514612444363,-1.3561345966708123,-0.040995680138031,-0.5984777143488615,-0.5203469705398461,-1.2260363211697323,-0.7416885902358394,1.6528038388351187,-1.0606813556021584,0.5528540797655307,0.5289628166045004,0.46037828462440433,0.961721410045739,10-1987,-0.2768042335189204,FA-10-592
FA-10-477,10,-1.6528038388351236,0.5116576125310269,-0.7816600063381159,-1.0182488237915737,-1.0710004623804523,-0.15505447663671776,1.5119858204402163,0.10677051568631313,-0.4361774507262413,-0.7393872407576317,1.2698822047480396,-1.0479886920047374,-1.7362197975030376,0.04402879159486604,1.7894306186094233,-1.1364488025204043,0.5322190048175574,-0.3255392327227402,-0.2915096263453903,551,-0.27760432743117147,-1.5750239880487382,1.012041212035753,-0.9706980180601961,0.5768656074903962,1.5689794208772032,-0.009073298510995413,-1.2316158032494993,0.004295627616258402,-0.4775750779711061,-0.42654270614859724,-1.1265516743883095,-1.1007772281219215,1.6528038388351187,-1.009654528267674,0.521899041528596,0.5853599733705086,0.37943277661053315,1.1674534030018315,10-1987,-0.8479216911379476,FA-10-477
FA-10-259,10,-1.6528038388351236,-0.059605392298132644,-0.506972539139152,-0.9905886022576105,-1.0378067640890845,-0.2000529153515585,1.3711364024748993,0.5061856363034235,0.012551786341806247,0.8322556210895177,-1.1897077926851938,-0.48598454826252707,-0.28244413720739214,-0.8809931156870608,-0.3855051134999771,0.050096589321569227,0.893647834432501,-0.3255392327227402,-0.2915096263453903,551,-0.27760432743117147,-1.58165877486419,1.031124302869746,0.6307670754079268,0.2827448302032522,-0.38437570481506217,2.6788047687804086,-1.212799461717719,-0.06246476010033253,-0.4529468643062787,-0.3800342529882127,-1.0947866750352937,0.47917454257862135,1.6528038388351187,-1.0072602814856033,0.5246484942315907,0.09781103941384475,0.01707377932095604,-0.1247494121545936,10-1987,-0.040933336310931934,FA-10-259
