pixelID,focalAreaID,fireYear,CWDhist,AEThist,PPThist,PPThistSD,TmaxHist,TmaxHistSD,hli,tpi,aspect,eastness,northness,adjustedNorthness,adj_fold_northness,slope,elevation,burnSev,mediumReburns,lowReburns,forestType,wilderness,x,y,preFireConCov,postFireConCov,postFireSAP,postFirePlanting,pptYr1_3_annual_mean,tmaxYr1_3_mean,min_annual_ppt_Yr1_3,min_annual_ppt_t_adjusted_Yr1_3,pptYr1_3_annual_mean_t_adjusted,disturbanceSize,recoveryTime,ppt_Yr1_3_mean_annual_anom,min_annual_ppt_Yr1_3_anom,conCov_end,ARI_end,RRI_end,fire
FA-31-1197,31,1.60602621730292,1.29509695613375,-1.24199381839004,0.014072905959165,0.571764689879276,-0.685594683368244,-1.53231463084854,-0.113141409111689,0.438074062193471,-1.08284672182823,1.80470778213232,-0.833530436372477,-1.45104373854421,0.797197236224752,1.88918407675215,1.23862465831921,0.99523998055997,NA,NA,584,-0.27739801375119,1.62201552950097,-1.66871335716015,-1.49349246179697,0.619162608165843,0.16051556663890101,-0.067031703487742,-0.84779108741309,-0.109198767991681,0.911591499946877,1.13492385464859,-0.7378432769568,-1.55474974680815,-1.60602621730292,-1.49591499001197,1.35657589423885,-1.20466828810525,-1.22929998015682,-0.860378565760943,31-2001
FA-31-1529,31,1.60602621730292,0.270370635917686,0.084495438699423,0.014072905959165,0.571764689879276,-0.685594683368244,-1.53231463084854,-0.495825415773968,-0.994100788432398,-1.17193618464112,1.9056877472886,-0.683015619271894,-1.27537312107781,1.13156357161585,2.0882889007352,0.541345965029925,0.99523998055997,NA,NA,584,-0.27739801375119,1.6054185665774099,-1.69146049612227,-1.57707340070051,0.760107042575863,-0.002675288004496,-0.067031703487742,-0.84779108741309,-0.109198767991681,0.911591499946877,1.13492385464859,-0.7378432769568,-1.67650017761295,-1.60602621730292,-1.49591499001197,1.35657589423885,-1.08005900349212,-1.15234327344245,-0.661891034839699,31-2001
FA-31-1446,31,1.60602621730292,1.47161445118641,-1.41707912377237,0.014072905959165,0.571764689879276,-0.685594683368244,-1.53231463084854,-0.940430460560469,-0.342658985092215,-1.17321273457819,1.80315046643755,-0.624513914032608,-1.23131578986409,1.17740358079779,2.40542088457557,0.781748365225228,0.99523998055997,NA,NA,584,-0.27739801375119,1.6095678073083,-1.68577371138174,-1.1627710681799,0.448890985353463,0.334487218976781,-0.067031703487742,-0.84779108741309,-0.109198767991681,0.911591499946877,1.13492385464859,-0.7378432769568,-1.19962430129841,-1.60602621730292,-1.49591499001197,1.35657589423885,-1.20990326786142,-1.19228485559904,-0.934686349139431,31-2001
FA-31-1404,31,1.60602621730292,1.251012564759,-1.2282450155914,0.014072905959165,0.571764689879276,-0.685594683368244,-1.53231463084854,-0.972237240961252,0.085573333614813,-1.2178363366817,1.9091181387584,-0.585105180415557,-1.32754742814613,1.45713193699099,2.88376265537416,0.95923779944611,0.99523998055997,NA,NA,584,-0.27739801375119,1.6095678073083,-1.68293031901148,0.369267686076533,0.487382099400873,0.13073314441792,-0.067031703487742,-0.84779108741309,-0.109198767991681,0.911591499946877,1.13492385464859,-0.7378432769568,0.175080950764587,-1.60602621730292,-1.49591499001197,1.35657589423885,-1.0419755943145,-1.05148635700632,-1.09700271998189,31-2001
FA-31-1826,31,1.60602621730292,0.660608124653004,-0.296852933662977,-0.092111721718328,0.414552868080473,-0.270211537898783,-1.39362841805296,1.28461359629204,0.3294324635547,0.506519372283249,-0.854497201217395,-0.819218066433258,-0.819830425998144,-1.46799185664595,0.523556876626871,0.955415456907139,-0.335288230412315,NA,NA,585,-0.27739801375119,1.61786628877008,-1.71136424271412,-1.51848993192532,-0.697888520950561,-0.380217096348619,-0.067031703487742,-0.944328165799566,0.319625509445809,0.755382028041413,0.71219192445378,-0.968013664387348,-1.14691788286211,-1.60602621730292,-1.55176619911624,1.30750120172298,-0.442608478633444,-0.225040928182612,0.479377898914385,31-2001
FA-31-202,31,1.60602621730292,-0.324962608398838,-0.066255924698371,0.377196108240836,0.848244845648911,-1.81178319886694,-1.23323865368676,0.131583933728106,-2.41152649777327,0.161533991767594,0.283127905524836,-0.423766684251376,-0.767381972957948,-0.346226387767533,1.28913253859533,1.73453121302037,-2.2024841191247,NA,NA,585,-0.27739801375119,1.67595565900255,-1.6004719402738,-1.03566590831778,0.681100971558881,0.751112514789185,-0.067031703487742,-0.536599556216936,-1.40248662060279,1.61753335047278,2.91457816307001,0.129344027481516,-1.16042448238944,-1.60602621730292,-1.37681615818258,1.59385456835468,-1.52639121979241,-1.53227500679969,-1.45352840439225,31-2001
FA-31-1903,31,1.60602621730292,0.413321639956665,-0.413135521610515,-0.169058744522362,0.369611010928974,0.07794445709732,-1.44228433712854,-1.83564736844132,-2.10487886210372,1.1282274860522,-0.350147459878217,1.70436802196586,2.50877304309801,1.07164853957493,1.73195274779991,0.138558527400991,0.152904004168769,NA,NA,585,-0.27739801375119,1.58882160365385,-1.71705102745465,-1.37112523769013,-0.329193689095251,-0.064265067519492,-0.067031703487742,-0.995435995875582,0.63199957869666,0.63778500629958,0.427874352911633,-1.10766522591769,-1.13398169379559,-1.60602621730292,-1.55124587077952,1.29715571882613,-1.79526533392739,-1.52539080867376,-1.446775744532,31-2001
FA-31-1199,31,1.60602621730292,1.41511877231261,-1.44057479979357,0.014072905959165,0.571764689879276,-0.685594683368244,-1.53231463084854,0.126635083231243,-3.58249642090777,-0.180039553212548,0.756854700554313,-0.38873128441039,-0.75847361441284,0.195228586159614,1.51948769476462,0.513005842891403,0.768515259321322,NA,NA,584,-0.27739801375119,1.63031401096275,-1.66871335716015,-0.975320345090089,0.972674944555939,0.318322768203295,-0.067031703487742,-0.84779108741309,-0.109198767991681,0.911591499946877,1.13492385464859,-0.7378432769568,-1.201079190608,-1.60602621730292,-1.49591499001197,1.35657589423885,-1.40422382271436,-1.49439079628873,-1.39091338034322,31-2001
FA-31-1321,31,1.60602621730292,1.3078086764655,-1.21539977899503,0.014072905959165,0.571764689879276,-0.685594683368244,-1.53231463084854,-0.282468197524317,-0.896681803650445,-1.08672293953977,1.78938300141267,-0.813311640316745,-1.5607158871476,0.86707998016464,2.27140625080802,0.988100691557412,0.99523998055997,NA,NA,585,-0.27739801375119,1.61371704803919,-1.67724353427095,0.872509638165094,0.415797561476854,0.159444338642621,-0.067031703487742,-0.84779108741309,-0.109198767991681,0.911591499946877,1.13492385464859,-0.7378432769568,0.654171466845273,-1.60602621730292,-1.49591499001197,1.35657589423885,-1.20977177940433,-1.18406289980849,-1.28771535657889,31-2001
FA-31-1655,31,1.60602621730292,1.03332586724673,-0.941168913984259,-0.092111721718328,0.414552868080473,-0.270211537898783,-1.39362841805296,-0.312716818288853,-3.14728687541312,1.20846433205924,-0.989937550499754,0.600720668944731,0.687211184077973,-0.463972462268378,0.58101114734545,-0.020459994723517,0.431950311536958,NA,NA,585,-0.27739801375119,1.6054185665774099,-1.69999067323306,-0.904376008122268,-0.554666669002535,-0.171251747181279,-0.067031703487742,-0.944328165799566,0.319625509445809,0.755382028041413,0.71219192445378,-0.968013664387348,-0.637638736864529,-1.60602621730292,-1.55176619911624,1.30750120172298,-0.249765012031492,-0.08760103252396,0.275060749402602,31-2001
