PatchID,year,FireYear,ConProb,timeSinceFire,deltaConProb,preFireConProb,postFireConProb,ARI,RRI,RRI_yr20,SAPYr1_3,plantedYr0_6,PPT_Yr0_3_mean,CWDhist,PPThist,PPThistSD,T_meanHist,T_meanSD,SolarLoad,aspect,eastness,northness,slope,elevation,burnSev,wilderness,SeedAvail,PostFirePPT,SeedAvail2,PostFirePPT2,planted
-1017273244,1984,1987,94.23890117298473,-3,40.33297458995472,84.11153899106112,43.7785644011064,50.46033677187833,1.2717053339808342,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
-1017273244,1985,1987,94.14228571111505,-2,40.33297458995472,84.11153899106112,43.7785644011064,50.36372131000866,1.2794020402618207,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
-1017273244,1986,1987,74.0807922710072,-1,40.33297458995472,84.11153899106112,43.7785644011064,30.30222786990079,0.7205979597381793,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
-1017273244,1987,1987,96.8513276533647,0,40.33297458995472,84.11153899106112,43.7785644011064,53.0727632522583,1.34585465968245,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
-1017273244,1988,1987,51.751109487360175,1,40.33297458995472,84.11153899106112,43.7785644011064,7.972545086253773,0.26186817767132387,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
-1017273244,1989,1987,35.80601931485263,2,40.33297458995472,84.11153899106112,43.7785644011064,-7.972545086253773,-0.26186817767132387,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
-1017273244,1990,1987,41.001977330988105,3,40.33297458995472,84.11153899106112,43.7785644011064,-2.776587070118297,-0.10897531956436485,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
-1017273244,1991,1987,58.80641319968483,4,40.33297458995472,84.11153899106112,43.7785644011064,15.027848798578436,0.41487787794815995,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
-1017273244,1992,1987,37.73633166226474,5,40.33297458995472,84.11153899106112,43.7785644011064,-6.042232738841664,-0.1956371837490218,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
-1017273244,1993,1987,46.0454123063521,6,40.33297458995472,84.11153899106112,43.7785644011064,2.2668479052456942,0.04131050540757994,0.08856333347677396,60.20417258522727,0,1424.1313438018162,449.4425476074219,1653.399995803833,162.36047644370626,8.87833309173584,6.696185937197749,153.96363636363637,271.068373210396,-0.714183711175768,0.3527848221062037,31.284426059778298,1481.8909090909092,3.5090909090909093,1,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3,FALSE
