PatchID,year,FireYear,ConProb,timeSinceFire,deltaConProb,preFireConProb,postFireConProb,ARI,RRI,RRI_yr20,SAPYr1_3,PPT_Yr0_3_mean,CWDhist,PPThist,PPThistSD,T_meanHist,T_meanSD,SolarLoad,aspect,eastness,northness,slope,elevation,burnSev,wilderness,SeedAvail,PostFirePPT,SeedAvail2,PostFirePPT2
-1056445977,1984,1987,90.16325521960701,-3,41.7488153927105,74.65243363011744,32.90361823740694,57.25963698220007,1.4344908481798715,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1985,1987,90.79370262696571,-2,41.7488153927105,74.65243363011744,32.90361823740694,57.89008438955877,1.4460806248042986,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1986,1987,58.51116463326916,-1,41.7488153927105,74.65243363011744,32.90361823740694,25.607546395862226,0.5539193751957014,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1987,1987,53.50583901110384,0,41.7488153927105,74.65243363011744,32.90361823740694,20.6022207736969,0.4618645982607737,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1988,1987,41.872588201896434,1,41.7488153927105,74.65243363011744,32.90361823740694,8.968969964489494,0.2681337058522027,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1989,1987,23.934648272917443,2,41.7488153927105,74.65243363011744,32.90361823740694,-8.968969964489494,-0.2681337058522027,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1990,1987,25.367317403714683,3,41.7488153927105,74.65243363011744,32.90361823740694,-7.5363008336922555,-0.23501244592999154,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1991,1987,26.25903381514795,4,41.7488153927105,74.65243363011744,32.90361823740694,-6.644584422258987,-0.2076977055946077,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1992,1987,19.93622403415208,5,41.7488153927105,74.65243363011744,32.90361823740694,-12.967394203254857,-0.38246268864137467,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1993,1987,20.128189920150128,6,41.7488153927105,74.65243363011744,32.90361823740694,-12.775428317256809,-0.3669120801805059,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
-1056445977,1994,1987,25.47019385062542,7,41.7488153927105,74.65243363011744,32.90361823740694,-7.433424386781516,-0.23112953135652278,0.5325467647802874,37.413870372313404,1606.8345923399188,517.5115232959236,1810.6905329387212,186.01290645238558,11.1195767368238,6.753897493989838,182.6443298969072,199.69277272268067,-0.29599682922540144,0.46006673407605564,9.880231451648338,1388.0128865979382,2.448453608247423,0,medium seed avail.,medium ppt Yrs 0-3,medium seed avail.,medium ppt Yrs 0-3
