pixelID,x,y
tile_0_11_-294315353685,-294315,353685
tile_0_11_-294855351255,-294855,351255
tile_0_11_-295125336405,-295125,336405
tile_0_11_-295125344235,-295125,344235
tile_0_11_-295125348285,-295125,348285
tile_0_11_-295395335325,-295395,335325
tile_0_11_-295395342075,-295395,342075
tile_0_11_-295395353415,-295395,353415
tile_0_11_-295935345585,-295935,345585
tile_0_11_-295935351795,-295935,351795
tile_0_11_-296475342885,-296475,342885
tile_0_11_-296475344235,-296475,344235
tile_0_11_-297015345315,-297015,345315
tile_0_11_-297555343695,-297555,343695
tile_0_11_-298095345315,-298095,345315
tile_0_12_-281355378315,-281355,378315
tile_0_12_-281355382095,-281355,382095
tile_0_12_-281355397755,-281355,397755
tile_0_12_-281355403155,-281355,403155
tile_0_12_-281355404505,-281355,404505
tile_0_12_-281355405585,-281355,405585
tile_0_12_-281625395865,-281625,395865
tile_0_12_-281895400725,-281895,400725
tile_0_12_-294045419355,-294045,419355
tile_0_12_-294045422055,-294045,422055
tile_0_12_-294585420435,-294585,420435
tile_0_12_-294855425025,-294855,425025
tile_0_12_-295665423675,-295665,423675
tile_0_12_-295935417195,-295935,417195
tile_0_12_-295935425025,-295935,425025
tile_0_12_-296205418815,-296205,418815
tile_0_12_-296475419895,-296475,419895
tile_0_12_-297015421245,-297015,421245
tile_0_12_-297285424215,-297285,424215
tile_0_12_-303495411525,-303495,411525
tile_0_12_-303765412605,-303765,412605
tile_0_12_-304035413685,-304035,413685
tile_0_12_-304575411525,-304575,411525
tile_1_11_-234315346935,-234315,346935
tile_1_11_-234855349095,-234855,349095
tile_1_11_-259425335595,-259425,335595
tile_1_11_-259425336945,-259425,336945
tile_1_11_-260235334245,-260235,334245
tile_1_11_-260505335325,-260505,335325
tile_1_11_-260775336405,-260775,336405
tile_1_11_-261585333975,-261585,333975
tile_1_11_-261585340455,-261585,340455
tile_1_11_-261855335325,-261855,335325
tile_1_11_-262125343695,-262125,343695
tile_1_11_-262665341535,-262665,341535
tile_1_11_-262935334245,-262935,334245
tile_1_11_-263205343155,-263205,343155
tile_1_11_-263475344235,-263475,344235
tile_1_11_-263745335055,-263745,335055
tile_1_11_-263745341535,-263745,341535
tile_1_11_-264015332625,-264015,332625
tile_1_11_-264285342885,-264285,342885
tile_1_11_-264555333705,-264555,333705
tile_1_11_-264555340455,-264555,340455
tile_1_11_-264555343965,-264555,343965
tile_1_11_-264825341535,-264825,341535
tile_1_11_-265635340725,-265635,340725
tile_1_11_-265635343425,-265635,343425
tile_1_11_-265635345855,-265635,345855
tile_1_11_-265905339375,-265905,339375
tile_1_11_-265905341805,-265905,341805
tile_1_11_-265905344505,-265905,344505
tile_1_11_-266715340995,-266715,340995
tile_1_11_-266715342615,-266715,342615
tile_1_11_-266715343695,-266715,343695
tile_1_11_-266715345315,-266715,345315
tile_1_11_-266985339915,-266985,339915
tile_1_11_-267255346395,-267255,346395
tile_1_11_-267255347475,-267255,347475
tile_1_11_-267795340725,-267795,340725
tile_1_11_-267795341805,-267795,341805
tile_1_11_-267795342885,-267795,342885
tile_1_11_-267795343965,-267795,343965
tile_1_11_-268065345045,-268065,345045
tile_1_11_-268335339375,-268335,339375
tile_1_11_-268605347205,-268605,347205
tile_1_11_-269415345855,-269415,345855
tile_1_11_-269685352605,-269685,352605
tile_1_11_-269955351525,-269955,351525
tile_1_11_-270225316425,-270225,316425
tile_1_11_-270225348285,-270225,348285
tile_1_11_-270225350445,-270225,350445
tile_1_11_-270765313455,-270765,313455
tile_1_11_-270765315075,-270765,315075
tile_1_11_-271035351525,-271035,351525
tile_1_11_-271305316155,-271305,316155
tile_1_11_-271845315075,-271845,315075
tile_1_11_-272385313995,-272385,313995
tile_1_11_-274275345045,-274275,345045
tile_1_11_-274815346125,-274815,346125
tile_1_11_-274815347745,-274815,347745
tile_1_11_-275355344775,-275355,344775
tile_1_11_-275355348825,-275355,348825
tile_1_11_-275895345855,-275895,345855
tile_1_11_-275895346935,-275895,346935
tile_1_11_-276165348015,-276165,348015
tile_1_11_-276435344235,-276435,344235
tile_1_11_-276435350175,-276435,350175
tile_1_11_-276705349095,-276705,349095
tile_1_11_-276705351255,-276705,351255
tile_1_11_-276975345315,-276975,345315
tile_1_11_-276975346935,-276975,346935
tile_1_11_-277245348015,-277245,348015
tile_1_11_-277515344235,-277515,344235
tile_1_11_-277515349905,-277515,349905
tile_1_11_-277785351255,-277785,351255
tile_1_11_-278055346125,-278055,346125
tile_1_11_-278055347205,-278055,347205
tile_1_11_-278055348825,-278055,348825
tile_1_11_-278325345045,-278325,345045
tile_1_11_-278595343425,-278595,343425
tile_1_11_-278595350175,-278595,350175
tile_1_11_-279135347475,-279135,347475
tile_1_11_-279135351525,-279135,351525
tile_1_11_-279405344505,-279405,344505
tile_1_11_-279675352875,-279675,352875
tile_1_11_-280215343425,-280215,343425
tile_1_11_-280215346395,-280215,346395
tile_1_11_-280215347475,-280215,347475
tile_1_11_-280215350175,-280215,350175
tile_1_11_-280485351525,-280485,351525
tile_1_12_-260775376695,-260775,376695
tile_1_12_-261045375075,-261045,375075
tile_1_12_-261045377775,-261045,377775
tile_1_12_-261855375885,-261855,375885
tile_1_12_-262125377235,-262125,377235
tile_1_12_-262935376155,-262935,376155
tile_1_12_-263205377235,-263205,377235
tile_1_12_-263745380475,-263745,380475
tile_1_12_-264015376155,-264015,376155
tile_1_12_-264285377235,-264285,377235
tile_1_12_-264285379125,-264285,379125
tile_1_12_-265365376965,-265365,376965
tile_1_12_-265365378855,-265365,378855
tile_1_12_-269415373455,-269415,373455
tile_1_12_-272115375075,-272115,375075
tile_1_12_-272655381825,-272655,381825
tile_1_12_-272925373455,-272925,373455
tile_1_12_-272925385875,-272925,385875
tile_1_12_-273195374535,-273195,374535
tile_1_12_-273465375615,-273465,375615
tile_1_12_-273465387495,-273465,387495
tile_1_12_-273735385065,-273735,385065
tile_1_12_-274005381285,-274005,381285
tile_1_12_-274005382365,-274005,382365
tile_1_12_-274545374535,-274545,374535
tile_1_12_-274545383445,-274545,383445
tile_1_12_-275085381015,-275085,381015
tile_1_12_-275085382095,-275085,382095
tile_1_12_-275355379395,-275355,379395
tile_1_12_-275355384525,-275355,384525
tile_1_12_-276165381285,-276165,381285
tile_1_12_-276165403425,-276165,403425
tile_1_12_-276165404505,-276165,404505
tile_1_12_-276435379935,-276435,379935
tile_1_12_-276435383445,-276435,383445
tile_1_12_-276435384795,-276435,384795
tile_1_12_-276705402075,-276705,402075
tile_1_12_-276975376695,-276975,376695
tile_1_12_-277245378855,-277245,378855
tile_1_12_-277515380745,-277515,380745
tile_1_12_-277515385065,-277515,385065
tile_1_12_-277515401265,-277515,401265
tile_1_12_-277515403695,-277515,403695
tile_1_12_-278055377775,-278055,377775
tile_1_12_-278595378855,-278595,378855
tile_1_12_-278595381015,-278595,381015
tile_1_12_-278595385335,-278595,385335
tile_1_12_-278595404775,-278595,404775
tile_1_12_-279135402615,-279135,402615
tile_1_12_-279405377505,-279405,377505
tile_1_12_-279405381825,-279405,381825
tile_1_12_-279405403965,-279405,403965
tile_1_12_-279675383445,-279675,383445
tile_1_12_-279675405045,-279675,405045
tile_1_12_-280215378315,-280215,378315
tile_1_12_-280215398835,-280215,398835
tile_1_12_-280485381285,-280485,381285
tile_1_13_-267255439935,-267255,439935
tile_1_13_-268065439125,-268065,439125
tile_1_8_-231345155325,-231345,155325
tile_1_8_-231885156675,-231885,156675
tile_1_8_-232425154785,-232425,154785
tile_1_8_-232695157485,-232695,157485
tile_1_8_-232695160185,-232695,160185
tile_1_8_-232965156135,-232965,156135
tile_1_8_-233505161265,-233505,161265
tile_1_8_-233775158295,-233775,158295
tile_1_8_-233775159375,-233775,159375
tile_1_8_-234045155325,-234045,155325
tile_1_8_-234585157485,-234585,157485
tile_1_8_-234585160725,-234585,160725
tile_1_8_-234855154515,-234855,154515
tile_1_8_-235125155595,-235125,155595
tile_1_8_-235395158835,-235395,158835
tile_1_8_-235665159915,-235665,159915
tile_1_8_-235935156405,-235935,156405
tile_1_8_-237015157755,-237015,157755
tile_1_8_-237015159105,-237015,159105
tile_1_8_-238365159645,-238365,159645
tile_1_8_-238365161265,-238365,161265
tile_1_8_-238635153705,-238635,153705
tile_1_8_-239175157755,-239175,157755
tile_1_8_-239445159645,-239445,159645
tile_1_8_-242415169365,-242415,169365
tile_1_8_-242685170445,-242685,170445
tile_1_8_-243765169635,-243765,169635
tile_1_8_-243765170715,-243765,170715
tile_1_8_-265365176385,-265365,176385
tile_3_9_-101355220455,-101355,220455
tile_3_9_-102165221265,-102165,221265
tile_3_9_-102435219645,-102435,219645
tile_3_9_-103245220995,-103245,220995
