domain,mod_name,aic,model_rank,d_aic,rsq,topography,fire_history,historical_climate,post_fire_weather
nf,mod_postFirePrecipAnom_nf_megram_reduced_1000m_2023-05-09-17-14-32.rda,3151,1,0,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_postFireMaxT,i_ppt_Yr1_3_mean_annual_anom"
nf,mod_minPostFirePrecip212_nf_megram_reduced_1000m_2023-05-09-17-14-32.rda,3152.72,2,1.7199999999998,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_minPostFirePrecip,i_postFireMaxT"
nf,mod118_nf_megram_reduced_1000m__notes_2023-05-04-14-40-04.rda,3158.58,3,7.579999999999927,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_postFireMaxT,i_postFirePrecip"
nf,mod207_nf_megram_reduced_1000m_2023-05-09-15-56-22.rda,3164.51,4,13.510000000000218,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT
nf,mod117_nf_megram_reduced_1000m__notes_2023-05-04-14-40-03.rda,3169.18,5,18.179999999999836,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod104_nf_megram_reduced_1000m__notes_2023-05-04-14-39-41.rda,3175.25,6,24.25,0.33,tpi,"burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
nf,mod114_nf_megram_reduced_1000m__notes_2023-05-04-14-39-58.rda,3191.21,7,40.210000000000036,0.34,"elevation,i_hli","burnSev,i_postFireSAP,mediumReburns",i_TmaxHist,i_postFirePrecip
nf,mod203_nf_megram_reduced_1000m_2023-05-09-15-45-20.rda,3192.21,8,41.210000000000036,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,postFirePrecip
nf,mod119_nf_megram_reduced_1000m__notes_2023-05-04-14-40-05.rda,3199.58,9,48.57999999999993,0.33,tpi,"burnSev,i_postFireSAP,mediumReburns",TmaxHist,i_postFirePrecip
nf,mod110_nf_megram_reduced_1000m__notes_2023-05-04-14-39-50.rda,3199.66,10,48.659999999999854,0.33,"adj_fold_northness,elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod126_nf_megram_reduced_1000m__notes_2023-05-04-14-40-17.rda,3201.76,11,50.76000000000022,0.32,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",CWDhist,i_postFirePrecip
nf,mod113_nf_megram_reduced_1000m__notes_2023-05-04-14-39-56.rda,3203.84,12,52.840000000000146,0.33,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod106_nf_megram_reduced_1000m__notes_2023-05-04-14-39-44.rda,3206.25,13,55.25,0.32,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod107_nf_megram_reduced_1000m__notes_2023-05-04-14-39-46.rda,3206.25,14,55.25,0.32,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod111_nf_megram_reduced_1000m__notes_2023-05-04-14-39-52.rda,3206.97,15,55.9699999999998,0.32,"adj_fold_northness,elevation","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod112_nf_megram_reduced_1000m__notes_2023-05-04-14-39-54.rda,3214.46,16,63.460000000000036,0.32,elevation,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod125_nf_megram_reduced_1000m__notes_2023-05-04-14-40-15.rda,3221.66,17,70.65999999999985,0.32,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",AEThist,i_postFirePrecip
nf,mod115_nf_megram_reduced_1000m__notes_2023-05-04-14-39-59.rda,3234.54,18,83.53999999999996,0.3,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod116_nf_megram_reduced_1000m__notes_2023-05-04-14-40-00.rda,3234.54,19,83.53999999999996,0.3,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod101_nf_megram_reduced_1000m__notes_2023-05-04-14-39-36.rda,3266.19,20,115.19000000000005,0.29,adj_fold_northness,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod108_nf_megram_reduced_1000m__notes_2023-05-04-14-39-47.rda,3284.04,21,133.03999999999996,0.27,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
