pixelID,recovery_rate,ARI_end_smooth
tile_0_10_-281355267765,0.009635076117173527,0.3848059306541478
tile_0_10_-281355268305,0.011141791551024747,0.3290574301110576
tile_0_10_-281625267225,0.01135949411838977,0.2301212652482831
tile_0_10_-281625267495,0.01363571176765098,0.3365987206448995
tile_0_10_-281625267765,0.01038069457975527,0.27037668627575095
tile_0_10_-281625268035,0.01028539982469409,0.36041599211673386
tile_0_10_-281625268305,0.008238655696223065,0.2746886627762774
tile_0_10_-281895267495,0.008717381883522524,0.33663485273697574
tile_0_10_-281895268035,0.010238747246852394,0.2762063588703834
tile_0_10_-281895268845,0.010904434805691659,0.24294019727814684
tile_0_10_-282165267765,0.010087195699507487,0.310460185095894
tile_0_10_-282165268035,0.011670267712315384,0.33101059999244403
tile_0_10_-282435267765,0.011004246950464477,0.3043392278341672
tile_0_10_-282435268845,0.01008470912413803,0.3449333554814979
tile_0_10_-282705268845,0.005013324997214003,0.26064298477336706
tile_0_10_-282705269385,0.010270721704433595,0.34564646269915067
tile_0_10_-282705279645,0,0
tile_0_10_-282705279915,0,0
tile_0_10_-282975268845,0.00562153755807326,0.24899893684245983
tile_0_10_-282975269115,0.006665574058650928,0.27523912858652005
tile_0_10_-282975279645,0,0
tile_0_10_-282975279915,0,0
tile_0_10_-283245268845,0.007859981610611782,0.23338192101763153
tile_0_10_-283245269115,0.007120172902419314,0.2047992993019753
tile_0_10_-283245269385,0.008903162727089381,0.3019906151574148
tile_0_10_-283245269655,0.00642952022036275,0.21405247667761124
tile_0_10_-283245270465,0.006742787915798917,0.2684258679527092
tile_0_10_-283245271275,0.006448005368676549,0.2743052677893038
tile_0_10_-283515268575,0.008517596596224196,0.2886764707213382
tile_0_10_-283515268845,0.01093883492040043,0.3505027207671936
tile_0_10_-283515269115,0.006544290351323689,0.22457685869228852
tile_0_10_-283515269655,0.010395746352836464,0.3212664617802127
tile_0_10_-283515269925,0.008872464039005542,0.2606637034543621
tile_0_10_-283515270735,0.009272723948986566,0.19409925940192074
tile_0_10_-283515271275,0.009662504675194642,0.300769497371028
tile_0_10_-283785268575,0.008528933369134661,0.3093634504636319
tile_0_10_-283785269655,0.009241737739955505,0.2908814747482006
tile_0_10_-283785269925,0.008414859649246728,0.2609245264152165
tile_0_10_-283785285585,0.0092802076510671,0.2994325227145176
tile_0_10_-284055268305,0.008450395370963405,0.3233221130568988
tile_0_10_-284055268575,0.012226810292118355,0.3414725349381891
tile_0_10_-284055268845,0.009690925928571495,0.3092058827461322
tile_0_10_-284055269115,0.008132336680492692,0.2292789701762024
tile_0_10_-284055269655,0.010357303995073213,0.30041362814967015
tile_0_10_-284055269925,0.008245611633779059,0.28928989556672746
tile_0_10_-284325268575,0.00983282062167496,0.27155887377581595
tile_0_10_-284325268845,0.011351887985494608,0.26524044484182474
tile_0_10_-284325269115,0.008059860524761549,0.2714137391852664
tile_0_10_-284325269385,0.008360239797470567,0.3028364614565616
tile_0_10_-284325269655,0.008441693075073954,0.25295045732972327
tile_0_10_-284325269925,0.0073203542455173,0.20234070567848889
tile_0_10_-284325270465,0.010761567111822757,0.329253186672338
tile_0_10_-284595268305,0.007542973366202319,0.30472127077808864
tile_0_10_-284595268575,0.008140430123294755,0.2557992366538586
tile_0_10_-284595268845,0.008156506552660148,0.2334326683759411
tile_0_10_-284595269115,0.00926594057148079,0.34946252570654857
tile_0_10_-284595269385,0.008081226655425083,0.2777993571420435
tile_0_10_-284595269655,0.008483532988086349,0.3397784199622918
tile_0_10_-284595269925,0.010818076504115672,0.3378490770456995
tile_0_10_-284595270195,0.009175973095320264,0.2812081986596189
tile_0_10_-284595270465,0.007095213500879623,0.3416285614459981
tile_0_10_-284595270735,0.010291235370441982,0.33766227645773134
tile_0_10_-284595271005,0.01317899955207891,0.3926771621280709
tile_0_10_-284595272355,0.005473120027270749,0.28122903493469675
tile_0_10_-284865262635,0.005988151542647056,0.0834607588616539
tile_0_10_-284865262905,NA,NA
tile_0_10_-284865263175,NA,NA
tile_0_10_-284865263445,0,0
tile_0_10_-284865268575,0.01331818523604177,0.3408617771519115
tile_0_10_-284865268845,0.007680549238867069,0.21237125087953126
tile_0_10_-284865269385,0.007127878041532245,0.30491150308832765
tile_0_10_-284865269925,0.010855806623185388,0.3416308344906166
tile_0_10_-284865270195,0.012239062661083877,0.3596959634741253
tile_0_10_-284865270465,0.010902033745724116,0.33517153702087615
tile_0_10_-284865270735,0.0070769049139043265,0.18623838282981353
tile_0_10_-284865271005,0.010014815175697848,0.384527784741792
tile_0_10_-284865272625,0.008655795917760853,0.2962357785643589
tile_0_10_-285135262095,0.009316119710538903,0.13598621608596984
tile_0_10_-285135262365,0.006903458731862533,0.09861029895062663
tile_0_10_-285135262635,0.007580576208088234,0.09915716299407183
tile_0_10_-285135262905,0.005004699572548888,0.06108270174544711
tile_0_10_-285135263175,0.005528514517857133,0.058726171872406925
tile_0_10_-285135268845,0.0037145929846718615,0.17686838347626355
tile_0_10_-285135269115,0.007992941032926172,0.2534421276027967
tile_0_10_-285135269655,0.005278377457648725,0.13330647616124291
tile_0_10_-285135269925,0.01071039237252501,0.37627885850945275
tile_0_10_-285135270195,0.011511428954651579,0.37092422317065205
