domain,mod_name,aic,model_rank,d_aic,rsq,topography,fire_history,historical_climate,post_fire_weather
wild,mod68_wild_megram_reduced_1000m__notes_2023-04-04-13-53-31.rda,703.17,1,0,0.42,"elevation,hli","burnSev,i_postFireSAP,lowReburns,mediumReburns",,i_minPostFirePrecip
wild,mod401_wild_megram_reduced_1000m__notes_2023-05-24-13-21-58.rda,703.29,2,0.12,0.42,"elevation,hli","burnSev,i_postFireSAP,lowReburns,mediumReburns",,i_ppt_Yr1_3_mean_annual_anom
wild,mod400_wild_megram_reduced_1000m__notes_2023-05-24-13-20-15.rda,703.54,3,0.37,0.42,"elevation,hli","burnSev,i_postFireSAP,lowReburns,mediumReburns",,i_postFirePrecip
wild,mod402_wild_megram_reduced_1000m__notes_2023-05-24-13-23-21.rda,704.52,4,1.35,0.42,"elevation,hli","burnSev,i_postFireSAP,lowReburns,mediumReburns",,i_pptYr1_3_annual_mean_t_adjusted
wild,mod63_wild_megram_reduced_1000m__notes_2023-04-04-13-34-02.rda,706.41,5,3.24,0.42,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_minPostFirePrecip
wild,mod64_wild_megram_reduced_1000m__notes_2023-04-04-13-34-28.rda,707.53,6,4.36,0.41,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod62_wild_megram_reduced_1000m__notes_2023-04-04-13-33-05.rda,707.57,7,4.4,0.42,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_ppt_Yr1_3_mean_annual_anom
wild,mod67_wild_megram_reduced_1000m__notes_2023-04-04-13-38-42.rda,708.61,8,5.44,0.42,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
wild,mod6_wild_megram_reduced_1000m.rda,708.84,9,5.67,0.41,elevation,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod62_wild_megram_reduced_1000m__notes_2023-04-04-13-33-34.rda,708.96,10,5.79,0.41,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_pptYr1_3_annual_mean_t_adjusted
wild,mod13_wild_megram_reduced_1000m.rda,709.13,11,5.96,0.41,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod66_wild_megram_reduced_1000m__notes_2023-04-04-13-37-20.rda,709.22,12,6.05,0.41,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_min_annual_ppt_Yr1_3_anom
wild,mod5_wild_megram_reduced_1000m.rda,709.79,13,6.62,0.41,"adj_fold_northness,elevation","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod3_wild_megram_reduced_1000m.rda,710.35,14,7.18,0.41,"adj_fold_northness,elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod11_wild_megram_reduced_1000m.rda,710.92,15,7.75,0.4,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
wild,mod45_wild_megram_reduced_1000m_2023-04-04-12-26-36.rda,711.39,16,8.22,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,postFireMaxT
wild,mod8_wild_megram_reduced_1000m.rda,712.02,17,8.85,0.41,"elevation,i_hli","burnSev,i_postFireSAP,mediumReburns",i_TmaxHist,i_postFirePrecip
wild,mod10_wild_megram_reduced_1000m.rda,712.15,18,8.98,0.4,tpi,"burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
wild,mod50_wild_megram_reduced_1000m__postFireTXpostFirePrecip_2023-04-04-12-48-30.rda,712.74,19,9.57,0.41,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_postFireMaxT,i_postFirePrecip"
wild,mod43_wild_megram_reduced_1000m_2023-04-04-12-25-52.rda,713.32,20,10.15,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod51_wild_megram_reduced_1000m__notes_2023-04-04-12-59-45.rda,713.54,21,10.37,0.4,"hli,tpi","burnSev,i_postFireSAP,mediumReburns,postFireSAP",i_PPThist,postFireMaxT
wild,mod47_wild_megram_reduced_1000m_2023-04-04-12-28-54.rda,714.37,22,11.2,0.39,tpi,"burnSev,i_postFireSAP,mediumReburns",TmaxHist,i_postFirePrecip
wild,mod54_wild_megram_reduced_1000m__notes_2023-04-04-13-29-43.rda,714.52,23,11.35,0.4,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",i_PPThist,postFireMaxT
wild,mod60_wild_megram_reduced_1000m__notes_2023-04-04-13-31-21.rda,720.24,24,17.07,0.39,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",CWDhist,i_postFirePrecip
wild,mod61_wild_megram_reduced_1000m__notes_2023-04-04-13-31-32.rda,722.72,25,19.55,0.38,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",AEThist,i_postFirePrecip
wild,mod2_wild_megram_reduced_1000m.rda,723.67,26,20.5,0.38,adj_fold_northness,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod16_wild_megram_reduced_1000m.rda,725.83,27,22.66,0.37,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod44_wild_megram_reduced_1000m_2023-04-04-12-26-22.rda,731.34,28,28.17,0.36,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
