pixelID,geometry
tile_1_11_-262665341535,"c(-262665, 341535)"
tile_1_11_-262935335055,"c(-262935, 335055)"
tile_1_11_-263745343425,"c(-263745, 343425)"
tile_1_11_-264015332625,"c(-264015, 332625)"
tile_1_11_-264285335865,"c(-264285, 335865)"
tile_1_11_-264555340455,"c(-264555, 340455)"
tile_1_11_-264555342075,"c(-264555, 342075)"
tile_1_11_-264825344775,"c(-264825, 344775)"
tile_1_11_-265095334245,"c(-265095, 334245)"
tile_1_11_-265635343425,"c(-265635, 343425)"
tile_1_11_-265905339375,"c(-265905, 339375)"
tile_1_11_-265905341265,"c(-265905, 341265)"
tile_1_11_-266175345585,"c(-266175, 345585)"
tile_1_11_-266985342345,"c(-266985, 342345)"
tile_1_11_-266985344235,"c(-266985, 344235)"
tile_1_11_-267255340185,"c(-267255, 340185)"
tile_1_11_-267255346665,"c(-267255, 346665)"
tile_1_11_-268335341265,"c(-268335, 341265)"
tile_1_11_-268335343155,"c(-268335, 343155)"
tile_1_11_-268605339105,"c(-268605, 339105)"
tile_1_11_-268605347475,"c(-268605, 347475)"
tile_1_11_-269415345855,"c(-269415, 345855)"
tile_1_11_-269685352605,"c(-269685, 352605)"
tile_1_11_-270225316425,"c(-270225, 316425)"
tile_1_11_-270225348285,"c(-270225, 348285)"
tile_1_11_-270225350445,"c(-270225, 350445)"
tile_1_11_-270765313455,"c(-270765, 313455)"
tile_1_11_-271035315075,"c(-271035, 315075)"
tile_1_11_-272385313995,"c(-272385, 313995)"
tile_1_11_-274275345045,"c(-274275, 345045)"
tile_1_11_-274815347745,"c(-274815, 347745)"
tile_1_11_-275355346125,"c(-275355, 346125)"
tile_1_11_-275355349635,"c(-275355, 349635)"
tile_1_11_-275895344505,"c(-275895, 344505)"
tile_1_11_-276435347205,"c(-276435, 347205)"
tile_1_11_-276705350445,"c(-276705, 350445)"
tile_1_11_-276975348825,"c(-276975, 348825)"
tile_1_11_-277245345315,"c(-277245, 345315)"
tile_1_11_-278055346665,"c(-278055, 346665)"
tile_1_11_-278055351255,"c(-278055, 351255)"
tile_1_11_-278595343425,"c(-278595, 343425)"
tile_1_11_-278865348285,"c(-278865, 348285)"
tile_1_11_-278865349905,"c(-278865, 349905)"
tile_1_11_-279135345045,"c(-279135, 345045)"
tile_1_11_-279675346665,"c(-279675, 346665)"
tile_1_11_-279675351525,"c(-279675, 351525)"
tile_1_11_-279675353145,"c(-279675, 353145)"
tile_1_11_-280485348555,"c(-280485, 348555)"
tile_1_12_-260775376695,"c(-260775, 376695)"
tile_1_12_-261045375075,"c(-261045, 375075)"
tile_1_12_-261045378315,"c(-261045, 378315)"
tile_1_12_-262395375885,"c(-262395, 375885)"
tile_1_12_-263205377235,"c(-263205, 377235)"
tile_1_12_-263745380475,"c(-263745, 380475)"
tile_1_12_-264555378315,"c(-264555, 378315)"
tile_1_12_-265365376965,"c(-265365, 376965)"
tile_1_12_-269415373455,"c(-269415, 373455)"
