pixelID,geometry
tile_0_11_-281355341805,"c(-281355, 341805)"
tile_0_11_-281355342075,"c(-281355, 342075)"
tile_0_11_-281355342345,"c(-281355, 342345)"
tile_0_11_-281355343965,"c(-281355, 343965)"
tile_0_11_-281355344235,"c(-281355, 344235)"
tile_0_11_-281355347205,"c(-281355, 347205)"
tile_0_11_-281355347475,"c(-281355, 347475)"
tile_0_11_-281355348285,"c(-281355, 348285)"
tile_0_11_-281355348555,"c(-281355, 348555)"
tile_0_11_-281355350175,"c(-281355, 350175)"
tile_0_11_-281355350715,"c(-281355, 350715)"
tile_0_11_-281355352335,"c(-281355, 352335)"
tile_0_11_-281625342345,"c(-281625, 342345)"
tile_0_11_-281625343425,"c(-281625, 343425)"
tile_0_11_-281625343695,"c(-281625, 343695)"
tile_0_11_-281625343965,"c(-281625, 343965)"
tile_0_11_-281625344505,"c(-281625, 344505)"
tile_0_11_-281625345315,"c(-281625, 345315)"
tile_0_11_-281625349365,"c(-281625, 349365)"
tile_0_11_-281625351795,"c(-281625, 351795)"
tile_0_11_-281625352065,"c(-281625, 352065)"
tile_0_11_-281625353685,"c(-281625, 353685)"
tile_0_11_-281625353955,"c(-281625, 353955)"
tile_0_11_-281625354225,"c(-281625, 354225)"
tile_0_11_-281625354495,"c(-281625, 354495)"
tile_0_11_-281895340725,"c(-281895, 340725)"
tile_0_11_-281895341535,"c(-281895, 341535)"
tile_0_11_-281895341805,"c(-281895, 341805)"
tile_0_11_-281895342345,"c(-281895, 342345)"
tile_0_11_-281895342615,"c(-281895, 342615)"
tile_0_11_-281895343155,"c(-281895, 343155)"
tile_0_11_-281895343425,"c(-281895, 343425)"
tile_0_11_-281895343695,"c(-281895, 343695)"
tile_0_11_-281895343965,"c(-281895, 343965)"
tile_0_11_-281895344235,"c(-281895, 344235)"
tile_0_11_-281895344505,"c(-281895, 344505)"
tile_0_11_-281895344775,"c(-281895, 344775)"
tile_0_11_-281895345045,"c(-281895, 345045)"
tile_0_11_-281895345855,"c(-281895, 345855)"
tile_0_11_-281895346125,"c(-281895, 346125)"
tile_0_11_-281895348015,"c(-281895, 348015)"
tile_0_11_-281895349095,"c(-281895, 349095)"
tile_0_11_-281895349365,"c(-281895, 349365)"
tile_0_11_-281895349635,"c(-281895, 349635)"
tile_0_11_-281895349905,"c(-281895, 349905)"
tile_0_11_-281895350175,"c(-281895, 350175)"
tile_0_11_-281895350445,"c(-281895, 350445)"
tile_0_11_-281895350715,"c(-281895, 350715)"
tile_0_11_-281895350985,"c(-281895, 350985)"
tile_0_11_-281895351255,"c(-281895, 351255)"
tile_0_11_-281895353415,"c(-281895, 353415)"
tile_0_11_-281895353685,"c(-281895, 353685)"
tile_0_11_-281895354225,"c(-281895, 354225)"
tile_0_11_-282165341265,"c(-282165, 341265)"
